Общество с ограниченной ответственностью «Домоуправление  № 1»;2628049900;357703, Ставропольский край,  г. Кисловодск, просп. Победы,  д. 91;1072628001588
Общество с ограниченной ответственностью «Первое Домоуправление»;2628048495;357748, Ставропольский край,  г. Кисловодск, просп. Победы,  д. 91;1062628013194
Муниципальное унитарное предприятие города Лермонтова Ставропольского края «Ремонт и содержание жилищного фонда»;2629800686;357342, Ставропольский край, г. Лермонтов, ул. Пятигорская, 13;1132651015859
Общество с ограниченной ответственностью «Жилье Комфорт Хозяйство»;2629800647;357340, Ставропольский край, г. Лермонтов, проезд Химиков,  д. 5;1132651014110
Общество с ограниченной ответственностью «Мастер-Дом»;2618018607;357350, Ставропольский край, Предгорный район,  ст. Ессентукская. ул. Павлова, д. 16;1072650002864
Общество с ограниченной ответственностью Управляющая компания «ВЕЛЕС»;2632802813;357500, Ставропольский край, г. Пятигорск, ул. Крайнего, д. 2, корпус А, кв. 303;1112651035166
Общество с ограниченной ответственностью «УПРАВДОМ»;2630039392;357201, Ставропольский край, Минераловодский район,  г. Минеральные Воды,  ул. Московская, 16;1072649001930
Общество с ограниченной ответственностью «Феникс»;2630035493;357351, Ставропольский край,  г. Минеральные Воды,  ул. Почтовая, д. 24;1052601045936
Общество с ограниченной ответственностью «Жилсервис»;2630034690;357209, Ставропольский край  г. Минеральные Воды,  ул. Тбилисская, д.6а;1052601025289
Общество с ограниченной ответственностью «Аверс»;2630041747;357202, Ставропольский край,  г. Минеральные Воды,  ул. Московская,  д. 29А;1082649001258
Общество с ограниченной ответственностью «Исток»;2619000176;357910, Ставропольский край,  г. Зеленокумск, ул. Мельничная, 36 И;1022601009705
Общество с ограниченной ответственностью «Управляющая компания «Содружество»;2618801215;357350, Ставропольский край, Предгорный район, станица Ессентукская,  ул. Гагарина, д. 92;1132651004485
Общество с ограниченной ответственностью «Управляющая компания «Многоэтажник»;2635824195;355045, Ставропольский край,  г. Ставрополь,  ул. Пирогова,  д. 64/2, кв. 72;1132651024670
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЖЭК»;2623803779;365240, Ставропольский край, Шпаковский район,  г. Михайловск, ул.Полеводческая. д.8, офис 12;1142651014285
Общество с ограниченной ответственностью «Ставропольская Управляющая Компания»;2635077271;355037, Ставропольский край,  г. Ставрополь,  ул. Шпаковская,  д. 107, корп. А;1042600337493
Общество с ограниченной ответственностью «СТУК»;2635117816;355037, Ставропольский край,  г. Ставрополь,  ул. Шпаковская, 107, корп. А;1082635016640
Общество с ограниченной ответственностью «Жилищная управляющая компания № 4»;2636048185;355006, Ставропольский край,  г. Ставрополь, просп. Карла Маркса, 69;1062635029698
Общество с ограниченной ответственностью «Управляющая компания  г. Ставрополя»;2635812457;355008, Ставропольский край,  г. Ставрополь, ул. Войтика, д. 4/1, помещение 18;1122651015882
Общество с ограниченной ответственностью управляющая компания «Проспект»;2635831146;355045, Ставропольский край,  г. Ставрополь, ул. Пирогова, д. 18, коп. 4;1142651016474
Муниципальное унитарное предприятие «Жилищно-эксплуатационный участок-14»  города Ставрополя;2635058399;355045, Ставропольский край,  г. Ставрополь,  ул. Пирогова, 18/4, оф. 1;1022601971633
Общество с ограниченной ответственностью «Управляющая компания «Стандарт»;2634059583;355005, Ставропольский край,  г. Ставрополь,  ул. Л. Толстого,  д. 114, оф.204;1032600971480
Общество с ограниченной ответственностью «Управляющая Компания «ЕвроПарк»;2635098553;355003, Ставропольский край,  г. Ставрополь,  ул. Дзержинского, д.158, офис 727;1072635004243
Общество с ограниченной ответственностью «СтавЮгИнвест»;2635086445;355042, ставропольский край,  г. Ставрополь,  ул. 50 лет ВЛКСМ, 53/6;1062635021591
Общество с ограниченной ответственностью Управляющая компания «Паритет»;2635830632;355042, Ставропольский край,  г. Ставрополь,  ул. Доваторцев, 59/2;1142651014989
Общество с ограниченной ответственностью «ГУК Высотка»;2635131585;355042, Ставропольский край,  г. Ставрополь, ул. Доваторцев,  д. 59, корп. 2,  оф. 1-16;1102635002062
Общество с ограниченной ответственностью «Гарден Сити»;2636044536;355000, Ставропольский край,  г. Ставрополь,  ул. Лермонтова, 365;1042600303294
Общество с ограниченной ответственностью «Управляющая компания Гранит»;2635833320;355008, Ставропольский край,  г. Ставрополь, просп. К. Маркса, д. 7, корпус 2, офис 423-424;1142651024493
Общество с ограниченной ответственностью «УПРАВЛЯЮЩАЯ КОМПАНИЯ «ДОМОВОЙ КОМИТЕТ»;2635827132;355045, Ставропольский край,  г. Ставрополь,  ул. Пирогова, д. 15, корп.1, кв.438;1142651002757
Общество с ограниченной ответственностью Управляющая компания «Вершина»;2628054322;357700, Ставропольский край,  г. Кисловодск,  ул. Героев Медиков, 22;1092628001355
Общество с ограниченной ответственностью Управляющая компания «Люкс»;2628049121;357736, Ставропольский край,  г. Кисловодск,  ул. Героев Медиков, 22;1072628000796
Общество с ограниченной ответственностью «Управляющая компания Домоуправление № 2 в городе Кисловодске»;2628049851;357703, Ставропольский край,  г. Кисловодск,  ул. Кирова, д. 64;1072628001522
Муниципальное унитарное предприятие «Домоуправление  № 2»;2628009979;357703, Ставропольский край,  г. Кисловодск,  ул. Кирова, д. 64;1022601325064
Общество с ограниченной ответственностью «Георгиевская Управляющая Компания-1»;2625800558;357821, Ставропольский край,  г. Георгиевск,  ул. Тронина, 9;1062625008159
Общество с ограниченной ответственностью «СССР»;2625037015;357831, Ставропольский край,  г. Георгиевск,  ул. Тургенева, д. 4;1102625000741
Общество с ограниченной ответственностью «Георгиевск-жилищно-эксплуатационное управление»;2625032803;357823, Ставропольский край,  г. Георгиевск,  ул. Ермолова, 35;106262501421
Общество с ограниченной ответственностью «ЖИЛОЙ КВАРТАЛ»;2625800149;357831, Ставропольский край,  г. Георгиевск,  ул. Кочубея, д. 13;1102651004940
Общество с ограниченной ответственностью «Держена»;2625038354;357807, Ставропольский край, Георгиевский район, станица Незлобная,  ул. Ульянова, д. 41;115261006166
Общество с ограниченной ответственностью «Управляющая компания «Тройка»;2631040143;357114, Ставропольский край,  г. Невинномысск, ул. Северная, д. 4 корпус А;1092648000940
Общество с ограниченной ответственностью «НАШ ДОМ»;2631803211;357115, Ставропольский край,  г. Невинномысск, ул. Дунаевского,  д. 5;1092648000940
Общество с ограниченной ответственностью «Управляющая компания Курорта»;2627025456;357400, Ставропольский край,  г. Железноводск, ул. Ленина, д. 127, пом. 27-31;1112647000036
Муниципальное унитарное предприятие «Жилищно-коммунальное хозяйство» Ипатовского района Ставропольского края;2608007701;35630, Ставропольский край, Ипатовский район, г. Ипатово, ул. Голубовского, 123;1022602622415
Муниципальное унитарное предприятие «Жилищное хозяйство» муниципального образования города Нефтекумска;2614017994;356884, Ставропольский край, Нефтекумский район,  г. Нефтекумск, 1-й микрорайон, д. 17;1022600872733
Общество с ограниченной ответственностью Строительная компания «ДОМИНВЕСТ»;2614019046;356880, Ставропольский край,  г. Нефтекумск,  ул. Винокурова,  д. 8, кв. 1;1052600681748
Общество с ограниченной ответственностью «Ремонтно-жилищная компания»;2632802267;357502, Ставропольский край, г. Пятигорск, ул. Кучуры, д. 2;1112651028379
Общество с ограниченной ответственностью Управляющая компания «Уют-Ессентуки»;2626043685;357600, Ставропольский край, г. Ессентуки, ул. Володарского, д. 55;1152651006936
